Collaboration_Performance.Parameters,Collaboration_Design.Reasoning,Collaboration_Client.and.Consultant.Requests,Collaboration_Technical.Constraints,Collaboration_Data,Performance.Parameters_Design.Reasoning,Performance.Parameters_Client.and.Consultant.Requests,Performance.Parameters_Technical.Constraints,Performance.Parameters_Data,Design.Reasoning_Client.and.Consultant.Requests,Design.Reasoning_Technical.Constraints,Design.Reasoning_Data,Client.and.Consultant.Requests_Technical.Constraints,Client.and.Consultant.Requests_Data,Technical.Constraints_Data
['Do we have to go somewhere for the group meeting or is it on chat? | Are we supposed to graph cost per sensor vs RPN?'],['What does risk priority mean? | Do we have to go somewhere for the group meeting or is it on chat?'],"[""Agility and safety were attributes I found most important. The users of the exoskeletons shouldn't have to worry about things breaking down or the exoskeleton not responding when they are on a first respond team.""]",['Do we have to go somewhere for the group meeting or is it on chat? | Are we supposed to graph cost per sensor vs RPN?'],['Do we have to go somewhere for the group meeting or is it on chat? | Are we supposed to graph cost per sensor vs RPN?'],"['Usually, a lower RPN has a higher cost. | I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.']",['The descriptions and technical specifications page says that the electric actuator has high agility and a fairly low payload. | I will have the medical side with DaShawn Edwards'],['Are we supposed to graph cost per sensor vs RPN?'],['Are we supposed to graph cost per sensor vs RPN?'],"[""I'm kind of confused on what we are supposed to actually do with the consultants we chose""]",['I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.'],"['Hey Justin, how should we begin to look ate 2 research articles outside of RescuTek? | What does risk priority mean?']",['The descriptions and technical specifications page says that the electric actuator has high agility and a fairly low payload. | I will have the medical side with DaShawn Edwards'],['The descriptions and technical specifications page says that the electric actuator has high agility and a fairly low payload. | I will have the medical side with DaShawn Edwards'],['Are we supposed to graph cost per sensor vs RPN?']
"[""No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch. | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","[""I think Brandon already did what we were supposed to decide in our meeting but I don't know""]","[""Agility and safety were attributes I found most important. The users of the exoskeletons shouldn't have to worry about things breaking down or the exoskeleton not responding when they are on a first respond team. | @Margaret: That is a very good point, that the RescuShell is meant to protect the user from injury and should therefore be free of most internal dangers.""]","[""If we're going to send Vedant a mobility prototype, we need to decide which power source to use - that was the only difference between the two mobility prototypes we have listed. | No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch.""]","[""I think Brandon already did what we were supposed to decide in our meeting but I don't know | Okay and when will the results be available from our redd designs""]","['Usually, a lower RPN has a higher cost. | I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.']",['The descriptions and technical specifications page says that the electric actuator has high agility and a fairly low payload. | I will have the medical side with DaShawn Edwards'],['Are we supposed to graph cost per sensor vs RPN? | For both the sensor and the Battery?'],"['Usually, a lower RPN has a higher cost.']","[""Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her. | I'm kind of confused on what we are supposed to actually do with the consultants we chose""]",['For both the sensor and the Battery? | I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.'],"['Usually, a lower RPN has a higher cost. | I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.']",['The descriptions and technical specifications page says that the electric actuator has high agility and a fairly low payload. | I will have the medical side with DaShawn Edwards'],['The descriptions and technical specifications page says that the electric actuator has high agility and a fairly low payload. | I will have the medical side with DaShawn Edwards'],['Are we supposed to graph cost per sensor vs RPN? | For both the sensor and the Battery?']
"[""No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch. | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","[""Alex I think you should put your prototypes into a batch. | I think Brandon already did what we were supposed to decide in our meeting but I don't know""]","[""So we're basically making the notebook on how well the hydraulic actuator fits the desires of each consultant?  (But each team member does only one consultant)?""]","[""If we're going to send Vedant a mobility prototype, we need to decide which power source to use - that was the only difference between the two mobility prototypes we have listed. | No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch.""]",['Okay and when will the results be available from our redd designs | @Steven: The next email says 1 or 2 days after we submit our five TEAM designs.'],"['Usually, a lower RPN has a higher cost. | I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.']",['I think the electric actuator has a high payload | I will have the medical side with DaShawn Edwards'],"['Are we supposed to graph cost per sensor vs RPN? | Usually, a lower RPN has a higher cost.']","['Are we supposed to graph cost per sensor vs RPN? | Usually, a lower RPN has a higher cost.']","[""Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her. | I'm kind of confused on what we are supposed to actually do with the consultants we chose""]",['I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable. | I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.'],"['Usually, a lower RPN has a higher cost. | I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.']",['I think the electric actuator has a high payload | I will have the medical side with DaShawn Edwards'],['I think the electric actuator has a high payload | I will have the medical side with DaShawn Edwards'],"['Are we supposed to graph cost per sensor vs RPN? | Usually, a lower RPN has a higher cost.']"
"[""@Brandon: Oh i thought that was our team batch. My bad | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","[""I think Brandon already did what we were supposed to decide in our meeting but I don't know | Okay and when will the results be available from our redd designs""]","[""Are we each going to research the same consultant? | So we're basically making the notebook on how well the hydraulic actuator fits the desires of each consultant?  (But each team member does only one consultant)?""]","[""If we're going to send Vedant a mobility prototype, we need to decide which power source to use - that was the only difference between the two mobility prototypes we have listed. | No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch.""]",['Okay and when will the results be available from our redd designs | @Steven: The next email says 1 or 2 days after we submit our five TEAM designs.'],"[""I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now. | Ya I haven't made graphs yet either but it sounded like LiPO had many advantages and I was surprised its RPN was higher than Cadmiums""]",['I think the electric actuator has a high payload | I will take Benjamin Taylor'],"['For both the sensor and the Battery? | Usually, a lower RPN has a higher cost.']","['Usually, a lower RPN has a higher cost.']","[""I'm kind of confused on what we are supposed to actually do with the consultants we chose | @Akash: The email seems to say that we evaluate the actuators based on the factors the consultant wants.""]",['I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable. | I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.'],['I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable. | The only thing is I think that this one was heavier than the other ones'],['I think the electric actuator has a high payload | I will take Benjamin Taylor'],['I will have the medical side with DaShawn Edwards | I agree with Brandon. near the end of the page it mentions that it generates less force due to its very quick acceleration.'],"['For both the sensor and the Battery? | Usually, a lower RPN has a higher cost.']"
"[""No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch. | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]",['@Steven: The next email says 1 or 2 days after we submit our five TEAM designs.'],"[""Okay. I will do my research based on the requests of Meredith Yamasaki-Nolan. | So we're basically making the notebook on how well the hydraulic actuator fits the desires of each consultant?  (But each team member does only one consultant)?""]","[""If we're going to send Vedant a mobility prototype, we need to decide which power source to use - that was the only difference between the two mobility prototypes we have listed. | No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch.""]","[""No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch. | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","['As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.']","[""Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","['Are we supposed to graph cost per sensor vs RPN? | Usually, a lower RPN has a higher cost.']","['Are we supposed to graph cost per sensor vs RPN? | Usually, a lower RPN has a higher cost.']","[""I'm kind of confused on what we are supposed to actually do with the consultants we chose | @Akash: The email seems to say that we evaluate the actuators based on the factors the consultant wants.""]","['I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now. | The LiPo battery seems to have many advantages, including its durability, weight, and energy.']",['I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.'],"[""Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]",['I think the electric actuator has a high payload | I will take Benjamin Taylor'],"['Are we supposed to graph cost per sensor vs RPN? | Usually, a lower RPN has a higher cost.']"
"[""@Brandon: Oh i thought that was our team batch. My bad | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","[""I think Brandon already did what we were supposed to decide in our meeting but I don't know | @Steven: The next email says 1 or 2 days after we submit our five TEAM designs.""]","[""So we're basically making the notebook on how well the hydraulic actuator fits the desires of each consultant?  (But each team member does only one consultant)? | I will evaluate hydraulic based on the desires of DaShawn Edwards.""]","[""If we're going to send Vedant a mobility prototype, we need to decide which power source to use - that was the only difference between the two mobility prototypes we have listed. | @Brandon: Oh i thought that was our team batch. My bad""]","[""No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch. | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","['Its more risky because it had the highest RPN | As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.']","[""I will have the medical side with DaShawn Edwards | Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","['For both the sensor and the Battery? | Usually, a lower RPN has a higher cost.']","['Usually, a lower RPN has a higher cost. | Usually, a lower RPN has a higher cost.']","[""I'm kind of confused on what we are supposed to actually do with the consultants we chose | So we pretty much do the same thing we did last work day but this time we say what the consultants would say about the electric actuator""]","['I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now. | The LiPo battery seems to have many advantages, including its durability, weight, and energy.']","['Usually, a lower RPN has a higher cost. | I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.']","[""I will have the medical side with DaShawn Edwards | Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]",['I agree with Brandon. near the end of the page it mentions that it generates less force due to its very quick acceleration. | I will take Benjamin Taylor'],"['For both the sensor and the Battery? | Usually, a lower RPN has a higher cost.']"
"[""So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better. | Well for our team batch, I think we should decide on which prototype will be most balanced""]",['Okay and when will the results be available from our redd designs | @Steven: The next email says 1 or 2 days after we submit our five TEAM designs.'],"[""So we're basically making the notebook on how well the hydraulic actuator fits the desires of each consultant?  (But each team member does only one consultant)? | @Jordan: And explain how the attributes the consultant is concerned about (i.e. payload, agility, etc) changes or is effected by different things.""]","[""No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch. | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","[""@Brandon: Oh i thought that was our team batch. My bad | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","['As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.']","[""I will take Benjamin Taylor | Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","['Usually, a lower RPN has a higher cost. | I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.']","['Usually, a lower RPN has a higher cost. | The only thing is I think that this one was heavier than the other ones']",['@Justin Kim:Okay and by the way where did it say to do the prototype designs? I did them only because I happened to run across the other prototypes | The last worklog I did was the consultant one and I never received another or an email after that after that.'],"['I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now. | The LiPo battery seems to have many advantages, including its durability, weight, and energy.']",['I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable. | I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.'],"[""I will take Benjamin Taylor | Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","[""Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","['Usually, a lower RPN has a higher cost. | I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.']"
"[""So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better. | Well for our team batch, I think we should decide on which prototype will be most balanced""]",['@Steven: The next email says 1 or 2 days after we submit our five TEAM designs.'],"[""I will look into Laura Rivers' requests then | Are REDDs shareable in any way or does each of us create the team batch individually?""]","[""No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch. | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","[""No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch. | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","['Its more risky because it had the highest RPN | As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.']","[""Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","['Usually, a lower RPN has a higher cost. | I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.']","['Usually, a lower RPN has a higher cost. | The only thing is I think that this one was heavier than the other ones']","['@Steven: I have an email from Vedant that is titled ""Designing Prototypes to Test"". It says to use the REDD to design your prototypes. Maybe you missed a worklog/ | The last worklog I did was the consultant one and I never received another or an email after that after that.']","['I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now. | The LiPo battery seems to have many advantages, including its durability, weight, and energy.']",['The only thing is I think that this one was heavier than the other ones | I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.'],"[""Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","[""I will have the medical side with DaShawn Edwards | Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","['Usually, a lower RPN has a higher cost. | I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.']"
"[""Agility and safety were attributes I found most important. The users of the exoskeletons shouldn't have to worry about things breaking down or the exoskeleton not responding when they are on a first respond team.""]","[""I think Brandon already did what we were supposed to decide in our meeting but I don't know | @Steven: The next email says 1 or 2 days after we submit our five TEAM designs.""]","['@Nassim Tehrani: Are we to just describe our prototypes in the discussion? | My two most ""important"" prototypes are my prototypes titled ""Prototype 5 Low-ROM (high recharge interval) variant of 1"" and ""Prototype 1"".  I have several other prototypes built to test maximum abilities in one area, but I believe these two prototypes will be more applicable to all the of the consultants\' desires, since they are somewhat ""balanced"".  They do emphasize the qualities DaShawn Edwards was looking for (agility and low RPN) more than other qualities, but I do not think the emphasis is too great to exclude the other consultants\' requests.']","[""@Brandon: Oh i thought that was our team batch. My bad | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","[""@Brandon: Oh i thought that was our team batch. My bad | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","['As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me. | As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.']","[""I will take Benjamin Taylor | Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","[""Ya I haven't made graphs yet either but it sounded like LiPO had many advantages and I was surprised its RPN was higher than Cadmiums""]","['Usually, a lower RPN has a higher cost. | I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.']","['@Steven: I have an email from Vedant that is titled ""Designing Prototypes to Test"". It says to use the REDD to design your prototypes. Maybe you missed a worklog/ | The last worklog I did was the consultant one and I never received another or an email after that after that.']","[""I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now. | Ya I haven't made graphs yet either but it sounded like LiPO had many advantages and I was surprised its RPN was higher than Cadmiums""]",['I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.'],"[""I will take Benjamin Taylor | Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","[""I agree with Brandon. near the end of the page it mentions that it generates less force due to its very quick acceleration. | Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]",['I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable. | The only thing is I think that this one was heavier than the other ones']
"[""It became apparent to me that Nickel Cadmium batteries are superior to the other choices in most ways--they have the lowest cost and best agility and payload, and an average RPN and recharge interval.  (PFC has a longer recharge interval and lower RPN but is expensive and has worse physical capabilities.)  In other words, three of its qualities were superior to the other power sources' and two were average, giving it an overall above-average rating. | Agility and safety were attributes I found most important. The users of the exoskeletons shouldn't have to worry about things breaking down or the exoskeleton not responding when they are on a first respond team.""]",['Okay and when will the results be available from our redd designs | @Steven: The next email says 1 or 2 days after we submit our five TEAM designs.'],"[""I would also be interested in sharing the problems (or non-problems) the hydraulic actuator had for each consultant's specifications.  For DaShawn Edwards, hydraulic's main issue was its agility, so I tried to choose other components to be agile. | @Team:  Does 5:00 PM sound like a good group deadline for choosing which 5 prototypes to test?""]","[""No, I sent my five prototypes as a batch to Vedant for the original prototype-making task. That is not our team batch. | So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better.""]","[""So... LiPO has the highest payload, but NiCd has the highest agility. Recharge interval is a moot point, and NiCd has a better cost and safety. For an agility prototype (if we're going to send one - everyone needs to agree on what we're sending) it seems like NiCd would be better. | Well for our team batch, I think we should decide on which prototype will be most balanced""]",['I would choose based on lower cost and more reliable and also something that would be convenient for the operator.'],"[""Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her. | Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","[""The LiPo battery seems to have many advantages, including its durability, weight, and energy. | Ya I haven't made graphs yet either but it sounded like LiPO had many advantages and I was surprised its RPN was higher than Cadmiums""]","[""Ya I haven't made graphs yet either but it sounded like LiPO had many advantages and I was surprised its RPN was higher than Cadmiums""]",['The last worklog I did was the consultant one and I never received another or an email after that after that. | Alex I think you should put your prototypes into a batch.'],"['As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.']",['I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable. | I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.'],"[""Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her. | Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]","[""I will take Benjamin Taylor | Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.""]",['I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable. | I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.']
